date,종목,체결_주수,상환_주수,잔고_주수,잔고_금액
2026-01-02,전체,21340942,20097895,2932417607,113105428
2026-01-05,전체,94547898,34402042,2992563463,118070765
2026-01-06,전체,75328319,45177227,3022714555,119495526
2026-01-07,전체,98556886,87748594,3033336808,119305210
2026-01-08,전체,29215856,21193488,3041359176,119408083
2026-01-09,전체,34536816,23311351,3052584641,121041480
2026-01-12,전체,90692107,108512945,3034763803,121229992
2026-01-13,전체,61366336,63868178,3032261961,121154880
2026-01-14,전체,44155373,55524821,3020892513,121663115
2026-01-15,전체,27532910,27102909,3021321746,124127953
2026-01-16,전체,35226899,30927888,3025620757,124582947
2026-01-19,전체,106984069,80027515,3052577311,127585676
2026-01-20,전체,52285760,31941976,3072921095,128874203
2026-01-21,전체,54490939,70373690,3057038344,126153942
2026-01-22,전체,39642575,29711143,3066969776,128853138
2026-01-23,전체,52261755,29304010,3089927521,130883191
2026-01-26,전체,83238767,76196517,3094626972,133030660
2026-01-27,전체,45634904,43392810,3096869066,136443157
2026-01-28,전체,59656527,92099813,3064425780,136750712
2026-01-29,전체,50461316,38984513,3075902583,139492050
2026-01-30,전체,49108366,47966919,3077044030,138628455
2026-02-02,전체,80134107,75337621,3081840516,131877037
2026-02-03,전체,92587364,75882001,3098545879,141099887
2026-02-04,전체,46110362,95180739,3049475502,140811905
2026-02-05,전체,45402372,30624892,3064252982,136380943
2026-02-06,전체,48224920,46634909,3065842993,134669835
2026-02-09,전체,96871229,77490096,3085224126,141239030
2026-02-10,전체,41467655,62032929,3064658852,139544101
2026-02-11,전체,42368038,44218598,3062808292,140372380
2026-02-12,전체,38016392,33405775,3067416693,144376621
2026-02-13,전체,34795081,47490956,3054720818,141988581
2026-02-19,전체,99771641,93061656,3061430803,148032065
2026-02-20,전체,50617083,57964926,3054082960,148475563
2026-02-23,전체,117585258,121805547,3049862671,149152860
2026-02-24,전체,87053432,71123085,3065793018,153013162
2026-02-25,전체,78617439,66165104,3078245353,154356512
2026-02-26,전체,57340386,67225337,3068360402,157929878
2026-02-27,전체,55989125,48542644,3075806883,156508048
2026-03-03,전체,99622505,108316731,3067112657,145387166
2026-03-04,전체,68089914,63708469,3071494102,127341794
2026-03-05,전체,49559396,55552726,3065500772,141805355
2026-03-06,전체,50648681,42915979,3073233474,144125414
2026-03-09,전체,106013869,102254860,3076992483,136786529
2026-03-10,전체,71655380,79542513,3069105350,142974717
2026-03-11,전체,51716330,47502450,3073319230,144387598
2026-03-12,전체,54038893,38376214,3088981909,145183401
2026-03-13,전체,55572813,28983026,3115571696,144641114
2026-03-16,전체,85901131,91676453,3109796374,144592654
2026-03-17,전체,69299995,57153025,3121941656,147132441
2026-03-18,전체,68188119,89168465,3100961310,154024185
2026-03-19,전체,59638964,49887055,3110713219,149256174
2026-03-20,전체,42306059,47971773,3105047505,150000653
2026-03-23,전체,98872661,84379834,3119540332,141786790
2026-03-24,전체,63423009,49669579,3133293762,145698071
2026-03-25,전체,50845625,37064977,3147074410,150237242
2026-03-26,전체,57277333,36347650,3168004093,146904091
2026-03-27,전체,53666160,45736051,3175934202,145633852
2026-03-30,전체,78879452,107592227,3147221427,139567961
2026-03-31,전체,39743233,41833295,3145131365,133573939
2026-04-01,전체,74966624,38483557,3181614432,149417870
2026-04-02,전체,62608712,55541086,3188682058,143813382
2026-04-03,전체,46613247,44496378,3190798927,147836006
2026-04-06,전체,79235082,86607063,3183426946,147296867
2026-04-07,전체,39333392,43475091,3179285247,147107897
2026-04-08,전체,36327315,40575907,3175036655,156608245
2026-04-09,전체,41712400,42148761,3174600294,154227769
2026-04-10,전체,41244867,43171019,3172674142,155793688
2026-04-13,전체,105003039,112636575,3165040606,153868637
2026-04-14,전체,55727743,56692633,3164075716,156029129
2026-04-15,전체,43606407,50561335,3157120788,159634630
2026-04-16,전체,32393121,33790924,3155605425,162359040
2026-04-17,전체,53311138,66601848,3142314715,159342906
2026-04-20,전체,85046305,87421156,3139939864,159931055
2026-04-21,전체,56874363,66829951,3129984276,165418197
2026-04-22,전체,50560953,50294337,3130250892,167025943
2026-04-23,전체,40997094,39623522,3131624464,167527620
2026-04-24,전체,55809632,35440271,3151993825,169836184
2026-04-27,전체,83346806,103240677,3132099954,173992275
2026-04-28,전체,52979279,57112796,3127966437,175007032
2026-04-29,전체,59677678,79013026,3108631089,173897866
2026-04-30,전체,41315082,69972105,3079974066,169058003
2026-05-04,전체,92991648,99824295,3073140019,174809302
2026-05-06,전체,60249097,62776709,3070612407,180628436
2026-05-07,전체,47493734,58184954,3059921187,179665875
2026-05-08,전체,34060821,64595582,3029386383,178163975
2026-05-11,전체,86277595,77723735,3037940243,182967499
2026-05-12,전체,52110092,65161706,3024888629,176555631
2026-05-13,전체,42567004,50118945,3017336688,178982429
2026-05-14,전체,50505620,36117376,3031724932,182430456
2026-05-15,전체,39523061,99166597,2972081396,170277792
2026-05-18,전체,49900436,68681072,2953300760,169668271
2026-05-19,전체,94069027,82511471,2964858316,164617920
2026-05-20,전체,102829974,71798796,2995889494,163888233
2026-05-21,전체,43798139,52614360,2987073273,177092904
2026-05-22,전체,40502501,57430627,2970145147,179072915
2026-05-26,전체,123668967,122495037,2971319077,183740268
2026-05-27,전체,67865133,66339893,2972844317,185180014
2026-05-28,전체,51570962,51599807,2972815472,183100068
2026-05-29,전체,45430386,41546636,2976699222,186954947
2026-06-01,전체,88710486,93296409,2972113299,190957472
2026-06-02,전체,61890184,56608523,2977394960,188569886
