date,KOSPI지수,거래량,거래대금,시가총액,외국인_시가총액,외국인_비중_pct
2026-01-02,4309.63,406339200,17521809,3558736495,1305137096,36.674
2026-01-05,4457.52,513869700,22783803,3683501015,1363186851,37.008
2026-01-06,4525.48,498391300,25518237,3738188652,1384492056,37.036
2026-01-07,4551.06,553654000,29139900,3759722549,1399297444,37.218
2026-01-08,4552.37,440086000,27476982,3759062722,1396688703,37.155
2026-01-09,4586.32,399220000,23478838,3790229810,1402954159,37.015
2026-01-12,4624.79,394752900,23073768,3822227586,1410035667,36.89
2026-01-13,4692.64,429151100,25240608,3877443682,1420581146,36.637
2026-01-14,4723.1,550416500,24217478,3903166781,1433838444,36.735
2026-01-15,4797.55,545175200,23826144,3966237189,1450546697,36.572
2026-01-16,4840.74,720905800,26948188,4004879774,1485684634,37.097
2026-01-19,4904.66,570841000,25214738,4056832202,1496577585,36.89
2026-01-20,4885.75,667709200,27148847,4038612917,1479306242,36.629
2026-01-21,4909.93,600101500,30093032,4061917379,1498193972,36.884
2026-01-22,4952.53,568624100,32919611,4095874148,1512147705,36.919
2026-01-23,4990.07,612601800,30017138,4125555097,1520520148,36.856
2026-01-26,4949.59,446903100,22842957,4093032391,1503758780,36.739
2026-01-27,5084.85,476155600,28496381,4203734778,1563409181,37.191
2026-01-28,5170.81,593108800,30856467,4276044578,1594130017,37.28
2026-01-29,5221.25,699659400,35870201,4315677778,1604615618,37.181
2026-01-30,5224.36,862540600,35493399,4318647136,1615529836,37.408
2026-02-02,4949.67,572544400,32090618,4091111654,1519916052,37.152
2026-02-03,5288.08,672610200,30015962,4372100336,1639251950,37.493
2026-02-04,5371.1,789920300,30433498,4438841137,1655555424,37.297
2026-02-05,5163.57,911910100,32385641,4264766371,1575374165,36.939
2026-02-06,5089.14,745763900,29912342,4203477721,1556898592,37.038
2026-02-09,5298.04,617657800,26454139,4374057800,1626698586,37.19
2026-02-10,5301.69,712267000,23275929,4376615585,1625085691,37.131
2026-02-11,5354.49,753767400,25625897,4421255293,1642757412,37.156
2026-02-12,5522.27,750614600,32322625,4560825989,1708783808,37.467
2026-02-13,5507.01,1290658600,30820999,4553532159,1708591116,37.522
2026-02-19,5677.25,1185838200,28945961,4696588120,1760465489,37.484
2026-02-20,5808.53,1749302700,33119679,4803601346,1802869024,37.532
2026-02-23,5846.09,1477788900,32044129,4820058734,1813970725,37.634
2026-02-24,5969.64,1602004800,31372731,4922736641,1862375782,37.832
2026-02-25,6083.86,1415254900,35284563,5016888867,1893159880,37.736
2026-02-26,6307.27,1409623200,38930015,5199961589,1981241480,38.101
2026-02-27,6244.13,1166058000,54939339,5146373108,1943247788,37.76
2026-03-03,5791.91,1227193100,52800573,4769433446,1781398143,37.35
2026-03-04,5093.54,1637606000,62882735,4194946819,1576479304,37.58
2026-03-05,5583.9,1660710400,45308990,4604357689,1732053360,37.618
2026-03-06,5584.87,1223019700,31402462,4605057308,1718964612,37.328
2026-03-09,5251.87,1026237700,33163873,4331264222,1601176094,36.968
